grid_id,row,col,store
0,40,38,0
1,40,39,0
2,40,40,0
3,41,38,0
4,41,39,3
5,41,40,0
6,41,41,0
7,42,37,4
8,42,38,0
9,42,39,2
10,42,40,1
11,42,41,0
12,42,42,0
13,43,37,0
14,43,38,0
15,43,39,0
16,43,40,0
17,43,41,1
18,43,42,0
19,43,43,0
20,44,30,0
21,44,31,0
22,44,32,7
23,44,33,0
24,44,34,1
25,44,35,0
26,44,36,0
27,44,37,0
28,44,38,4
29,44,39,0
30,44,40,0
31,44,41,0
32,44,42,1
33,44,43,1
34,44,44,0
35,45,30,0
36,45,31,2
37,45,32,13
38,45,33,0
39,45,34,0
40,45,35,0
41,45,36,1
42,45,37,0
43,45,38,0
44,45,39,0
45,45,40,0
46,45,41,1
47,45,42,1
48,45,43,0
49,45,44,0
50,46,30,0
51,46,31,0
52,46,32,2
53,46,33,2
54,46,34,0
55,46,35,0
56,46,36,1
57,46,37,0
58,46,38,0
59,46,39,0
60,46,40,0
61,46,41,1
62,46,42,1
63,46,43,0
64,46,44,0
65,46,45,2
66,46,46,1
67,46,47,0
68,46,48,0
69,46,49,0
70,46,50,0
71,46,51,0
72,46,52,1
73,46,53,1
74,47,30,0
75,47,31,0
76,47,32,1
77,47,33,1
78,47,34,0
79,47,35,0
80,47,36,3
81,47,37,8
82,47,38,6
83,47,39,1
84,47,40,0
85,47,41,1
86,47,42,0
87,47,43,0
88,47,44,2
89,47,45,0
90,47,46,0
91,47,47,0
92,47,48,1
93,47,49,0
94,47,50,0
95,47,51,0
96,47,52,0
97,47,53,0
98,48,29,0
99,48,30,0
100,48,31,0
101,48,32,6
102,48,33,3
103,48,34,0
104,48,35,2
105,48,36,0
106,48,37,1
107,48,38,0
108,48,39,0
109,48,40,12
110,48,41,9
111,48,42,1
112,48,43,1
113,48,44,0
114,48,45,15
115,48,46,0
116,48,47,1
117,48,48,5
118,48,49,1
119,48,50,0
120,48,51,0
121,48,52,0
122,48,53,0
123,49,26,3
124,49,29,0
125,49,30,2
126,49,31,2
127,49,32,21
128,49,33,15
129,49,34,7
130,49,35,1
131,49,36,0
132,49,37,0
133,49,38,0
134,49,39,0
135,49,40,17
136,49,41,0
137,49,42,3
138,49,43,16
139,49,44,31
140,49,45,44
141,49,46,13
142,49,47,4
143,49,48,2
144,49,49,0
145,49,50,0
146,49,51,0
147,49,52,0
148,49,53,0
149,50,25,1
150,50,26,1
151,50,27,0
152,50,28,0
153,50,29,0
154,50,30,0
155,50,31,0
156,50,32,25
157,50,33,12
158,50,34,17
159,50,35,0
160,50,36,0
161,50,37,0
162,50,38,2
163,50,39,0
164,50,40,13
165,50,41,31
166,50,42,0
167,50,43,91
168,50,44,251
169,50,45,266
170,50,46,66
171,50,47,19
172,50,48,7
173,50,49,7
174,50,50,0
175,50,51,0
176,50,52,0
177,50,53,0
178,51,24,1
179,51,25,10
180,51,26,11
181,51,27,0
182,51,28,14
183,51,29,0
184,51,30,0
185,51,31,0
186,51,32,0
187,51,33,1
188,51,34,1
189,51,35,1
190,51,36,8
191,51,37,0
192,51,38,2
193,51,39,0
194,51,40,0
195,51,41,0
196,51,42,5
197,51,43,26
198,51,44,98
199,51,45,297
200,51,46,56
201,51,47,9
202,51,48,2
203,51,49,0
204,51,50,0
205,51,51,0
206,51,52,0
207,51,53,0
208,52,23,0
209,52,24,0
210,52,25,0
211,52,26,1
212,52,27,8
213,52,28,0
214,52,29,0
215,52,30,1
216,52,31,12
217,52,32,0
218,52,33,0
219,52,34,0
220,52,35,7
221,52,36,21
222,52,37,6
223,52,38,2
224,52,39,50
225,52,40,0
226,52,41,22
227,52,42,0
228,52,43,20
229,52,44,20
230,52,45,15
231,52,46,15
232,52,47,6
233,52,48,0
234,52,49,0
235,52,50,0
236,52,51,0
237,52,52,0
238,52,53,0
239,52,54,0
240,52,55,0
241,52,56,0
242,52,57,0
243,53,24,0
244,53,25,0
245,53,26,0
246,53,27,7
247,53,28,5
248,53,29,27
249,53,30,25
250,53,31,9
251,53,32,14
252,53,33,1
253,53,34,4
254,53,35,4
255,53,36,17
256,53,37,6
257,53,38,1
258,53,39,0
259,53,40,0
260,53,41,0
261,53,42,0
262,53,43,3
263,53,44,0
264,53,45,12
265,53,46,0
266,53,47,0
267,53,48,0
268,53,49,0
269,53,50,0
270,53,51,0
271,53,52,0
272,53,53,0
273,53,54,0
274,53,55,0
275,53,56,0
276,53,57,0
277,53,58,1
278,54,24,0
279,54,25,0
280,54,26,0
281,54,27,0
282,54,28,2
283,54,29,134
284,54,30,27
285,54,31,34
286,54,32,18
287,54,33,9
288,54,34,7
289,54,35,2
290,54,36,0
291,54,37,1
292,54,38,0
293,54,39,4
294,54,40,0
295,54,41,5
296,54,42,0
297,54,43,1
298,54,44,15
299,54,45,6
300,54,46,2
301,54,47,0
302,54,48,0
303,54,49,1
304,54,50,0
305,54,51,0
306,54,52,0
307,54,53,0
308,54,54,0
309,54,55,0
310,54,56,0
311,54,57,0
312,54,58,0
313,54,59,0
314,54,60,0
315,55,25,0
316,55,26,7
317,55,27,2
318,55,28,39
319,55,29,88
320,55,30,366
321,55,31,119
322,55,32,8
323,55,33,28
324,55,34,2
325,55,35,0
326,55,36,0
327,55,37,0
328,55,38,0
329,55,39,0
330,55,40,0
331,55,41,0
332,55,42,0
333,55,43,1
334,55,44,4
335,55,45,4
336,55,46,0
337,55,47,0
338,55,48,0
339,55,49,0
340,55,50,0
341,55,51,0
342,55,52,0
343,55,53,0
344,55,54,0
345,55,55,0
346,55,56,0
347,55,57,0
348,55,58,0
349,55,59,0
350,55,60,0
351,55,61,0
352,56,25,0
353,56,26,20
354,56,27,9
355,56,28,25
356,56,29,135
357,56,30,323
358,56,31,87
359,56,32,5
360,56,33,12
361,56,34,0
362,56,35,2
363,56,36,2
364,56,37,0
365,56,38,0
366,56,39,0
367,56,40,0
368,56,41,0
369,56,42,2
370,56,43,5
371,56,44,7
372,56,45,0
373,56,46,0
374,56,47,0
375,56,48,0
376,56,49,1
377,56,50,0
378,56,51,0
379,56,52,0
380,56,53,3
381,56,54,0
382,56,55,0
383,56,56,1
384,56,57,1
385,56,58,5
386,56,59,7
387,56,60,6
388,56,61,6
389,56,62,0
390,56,63,0
391,57,26,0
392,57,27,7
393,57,28,0
394,57,29,40
395,57,30,148
396,57,31,115
397,57,32,10
398,57,33,0
399,57,34,3
400,57,35,0
401,57,36,5
402,57,37,0
403,57,38,0
404,57,39,0
405,57,40,0
406,57,41,0
407,57,42,6
408,57,43,17
409,57,44,0
410,57,45,0
411,57,46,0
412,57,47,0
413,57,48,0
414,57,49,0
415,57,50,0
416,57,51,2
417,57,52,11
418,57,53,0
419,57,54,23
420,57,55,10
421,57,56,18
422,57,57,7
423,57,58,2
424,57,59,0
425,57,60,0
426,57,61,0
427,57,62,0
428,57,63,0
429,57,64,0
430,58,26,0
431,58,27,0
432,58,28,0
433,58,29,32
434,58,30,66
435,58,31,85
436,58,32,16
437,58,33,2
438,58,34,0
439,58,35,0
440,58,36,3
441,58,37,1
442,58,38,0
443,58,39,0
444,58,40,0
445,58,41,0
446,58,42,17
447,58,43,2
448,58,44,3
449,58,45,0
450,58,46,0
451,58,47,0
452,58,48,0
453,58,49,0
454,58,50,0
455,58,51,1
456,58,52,10
457,58,53,4
458,58,54,0
459,58,55,10
460,58,56,3
461,58,57,0
462,58,58,0
463,58,59,0
464,58,60,0
465,58,61,0
466,58,62,2
467,58,63,0
468,58,64,0
469,59,25,2
470,59,26,8
471,59,27,0
472,59,28,0
473,59,29,0
474,59,30,1
475,59,31,0
476,59,32,0
477,59,33,0
478,59,34,3
479,59,35,0
480,59,36,1
481,59,37,0
482,59,38,13
483,59,39,2
484,59,40,0
485,59,41,1
486,59,42,0
487,59,43,2
488,59,44,0
489,59,45,0
490,59,46,0
491,59,47,0
492,59,48,0
493,59,49,18
494,59,50,11
495,59,51,10
496,59,52,7
497,59,53,0
498,59,54,0
499,59,55,1
500,59,56,5
501,59,57,4
502,59,58,0
503,59,59,4
504,59,60,0
505,59,61,0
506,59,62,6
507,59,63,0
508,59,64,0
509,60,25,0
510,60,26,0
511,60,27,2
512,60,28,0
513,60,29,0
514,60,30,0
515,60,31,0
516,60,32,3
517,60,33,3
518,60,34,0
519,60,35,1
520,60,36,0
521,60,37,8
522,60,38,53
523,60,39,12
524,60,40,11
525,60,41,3
526,60,42,0
527,60,43,0
528,60,44,0
529,60,45,0
530,60,46,0
531,60,47,0
532,60,48,3
533,60,49,6
534,60,50,10
535,60,51,5
536,60,52,0
537,60,53,7
538,60,54,0
539,60,55,1
540,60,56,9
541,60,57,5
542,60,58,6
543,60,59,12
544,60,60,15
545,60,61,15
546,60,62,0
547,60,63,0
548,60,64,0
549,61,24,0
550,61,25,0
551,61,26,5
552,61,27,0
553,61,28,0
554,61,29,2
555,61,30,0
556,61,31,1
557,61,32,8
558,61,33,2
559,61,34,10
560,61,35,2
561,61,36,0
562,61,37,7
563,61,38,0
564,61,39,0
565,61,40,10
566,61,41,1
567,61,42,0
568,61,43,0
569,61,44,0
570,61,45,0
571,61,46,0
572,61,47,4
